video_id,comment_id,video_title,channel_name,channel_id,author_name,author_channel_id,text,source_query,source_group,dataset_sources,author_handle,published_text,like_count_text,reply_count,is_pinned,viewer_rating,author_handle_decoded,like_count,texto_original,hashtags,mentions,emojis,texto_limpio
n8iP75gIpmw,Ugw5E402-fn52PLXFIJ4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@andyB5280,UCh5ESQvtzyHDhCA7XyekCFA,Tiene un poquito de oro y no habla como resolver los problemas .,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@andyB5280,hace 2 años, ,0,False,,/@andyB5280,0,Tiene un poquito de oro y no habla como resolver los problemas .,,,,poquito oro habla resolver problema
n8iP75gIpmw,Ugw5URsiAF9QVoniY-l4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@cesarandreas7824,UCWIZUtKJ636y-4TYrNvok0g,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@cesarandreas7824,hace 2 años,5,0,False,,/@cesarandreas7824,5,"Si a los diputados no les alcanza el sueldo que se busquen otro trabajo,  ya sea de los departamentos o de la capital.",,,,si diputado alcanzar sueldo buscar trabajo departamento capital
n8iP75gIpmw,Ugw5xMAuDaygo77ynI94AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@jor77cas,UCzoL2l5H5eVlorWGH8AZfAg,"Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@jor77cas,hace 2 años (editado),6,0,False,,/@jor77cas,6,"Lamentable son las EXCUSAS,  reclama que porque no se ve el trabajo que realizan, sueldon para que se costeen sus propios alimentos, pero tienen que ir a restaurantes de lujo y el PUEBLO luchando para llevar un pan a su mesa, muchos ni a eso llegan  ...",,,,lamentable excusa reclamar ve trabajo realizar sueldon costear propio alimento ir restaurante lujo pueblo luchar llevar pan mesa llegar
TT4qJ5FXHYE,Ugw6cfXYfV4H-asKlDR4AaABAg,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@rotorairgroup8409,UCKVzDUqbtdSMBcexaEtMmzQ,No se ve un deporte dinamico ni entretenido. El trasfondo de este juego era bastante macabro y refleja la oscuridad de las culturas pre colombinas en America. No le encuentro sentido a recrear algo tan negativo y arcaico.,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@rotorairgroup8409,hace 2 años, ,0,False,,/@rotorairgroup8409,0,No se ve un deporte dinamico ni entretenido. El trasfondo de este juego era bastante macabro y refleja la oscuridad de las culturas pre colombinas en America. No le encuentro sentido a recrear algo tan negativo y arcaico.,,,,ve deporte dinamico entretenido trasfondo juego bastante macabro reflejar oscuridad cultura pre colombino america encuentro recrear tan negativo arcaico
j43HgwYFKfk,Ugw74asIfir0_SVC6OB4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@eustaquiogomez9975,UCNpt5CQlTzNjlAKY6CJtClQ,Denle golpe universitario (de estado). Lo puede hacer el CSU?,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@eustaquiogomez9975,hace 1 año, ,0,False,,/@eustaquiogomez9975,0,Denle golpe universitario (de estado). Lo puede hacer el CSU?,,,,denle golpe universitario poder hacer csu
n8iP75gIpmw,Ugw86zOgTwKzYotlT9l4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@yeniferaguirre4498,UCut6b9S98nv84cVX89PmKzA,Y el pueblo muriéndose de hambre muchas madres de familia ganando 50 quetzales al día y en algunos departamentos solo ganan 30 te voy a dar mención una aldea llamada el jabalí 30 quetzales al día gana algunas personas ganan 300 quetzales a la semana fiestas sanguijuelas se los comieron en un almuerzo,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@yeniferaguirre4498,hace 2 años,1,0,False,,/@yeniferaguirre4498,1,Y el pueblo muriéndose de hambre muchas madres de familia ganando 50 quetzales al día y en algunos departamentos solo ganan 30 te voy a dar mención una aldea llamada el jabalí 30 quetzales al día gana algunas personas ganan 300 quetzales a la semana fiestas sanguijuelas se los comieron en un almuerzo,,,,pueblo muriéndose hambre mucho madre familia ganar quetzal día departamento solo ganar ir dar mención aldea llamada jabalí quetzal día gana persona ganar quetzal semana fiesta sanguijuela comer almuerzo
j43HgwYFKfk,Ugw8iZ_G2Cwq-9ZYctt4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@aguilar4254,UCQyOePccUP-fIJYzchAgZYw,"Pues son muchos los alumnos hay que unirse se han quedado con la pata del Walter en el cuello, fuera hay que sacarlos",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@aguilar4254,hace 6 meses, ,0,False,,/@aguilar4254,0,"Pues son muchos los alumnos hay que unirse se han quedado con la pata del Walter en el cuello, fuera hay que sacarlos",,,,pues alumno unirse quedar pata walter cuello sacarlos
n8iP75gIpmw,Ugw8pyxscJNUQpfoKuF4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@welfrealdana5559,UCOLGv5Pf6BF2wFcwUzgcvHg,Todos lis que trabajan en la capital pagamos apartamento y no tenemos carro y gasolina gratis,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@welfrealdana5559,hace 2 años,4,0,False,,/@welfrealdana5559,4,Todos lis que trabajan en la capital pagamos apartamento y no tenemos carro y gasolina gratis,,,,lis trabajar capital pagar apartamento carro gasolina gratis
06mFNPU0aB8,Ugw9_Qw_QaSdggWuKJt4AaABAg,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,UCVpSRoZgngfSL03Nlbjtq9A,@ruddydepaz322,UCAxvOOHQk7dYPOajzFEVtbA,Las dos se ubieran vestido de rosita con tacones y medias.Dia y noche no les ba faltar de todos calibres .delen una bolsa de pintalabios también .,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@ruddydepaz322,hace 2 semanas, ,0,False,,/@ruddydepaz322,0,Las dos se ubieran vestido de rosita con tacones y medias.Dia y noche no les ba faltar de todos calibres .delen una bolsa de pintalabios también .,,,,dos ubieran vestido rosita tacón media dia noche ba faltar calibre delen bolsa pintalabios
n8iP75gIpmw,Ugw9eye2GML6RHRSu-14AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@MegaKristenstewart,UCQ_-LPP8JAbfkc-b1Q6NvWw,La gente muriendose de hambre y esos ladrones comiendo de maravilla que verguenza...,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@MegaKristenstewart,hace 2 años,31,0,False,,/@MegaKristenstewart,31,La gente muriendose de hambre y esos ladrones comiendo de maravilla que verguenza...,,,,gente muriendose hambre ladrón comer maravilla verguenza
lj983NWyAQY,UgwA5aTmgACLCuTUT494AaABAg,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,@melvinperez6710,UCXmrpc6Li0spcKxtS0Q_ptg,Guatemala nunca se tube que llamar guatemala dino guatebella guatehermosa guatelinda la eterna primavera es guatebella abrazos hnos de un salvadoreno que viva el amor y la armonia,Municipalidad de Guatemala,topic,lj983NWyAQY_out_comments.csv | youtube_guatemala_plus_comments.csv,/@melvinperez6710,hace 6 años,10,0,False,,/@melvinperez6710,10,Guatemala nunca se tube que llamar guatemala dino guatebella guatehermosa guatelinda la eterna primavera es guatebella abrazos hnos de un salvadoreno que viva el amor y la armonia,,,,guatemala nunca tube llamar guatemala dino guatebella guatehermosa guatelinda eterno primavera guatebella abrazo hnos salvadoreno vivar amor armonia
n8iP75gIpmw,UgwARHTnVAzzPrHbNox4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@belvettzapeta1251,UCZ51R_9Q9C0c8I3pAWhtmjQ,Me parece excelente esta entrevista,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@belvettzapeta1251,hace 2 años,8,0,False,,/@belvettzapeta1251,8,Me parece excelente esta entrevista,,,,parecer excelente entrevistar
X_FAIef8qlE,UgwBIwUPLGxEWAu3Mh14AaABAg,Cruzando la ciudad a puro Transmetro,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@elizabethmonterroso7719,UCPLW0HE3siElqCgXfgWxMqg,"¿Como se subscribe uno al boletín informativo? 
Yo intenté desde la pagina web pero  los teléfonos que tienen colocados  dice telgua que no existen. Y WhatsApp igual dice que ese teléfono no existe.",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@elizabethmonterroso7719,hace 5 meses, ,0,False,,/@elizabethmonterroso7719,0,"¿Como se subscribe uno al boletín informativo? 
Yo intenté desde la pagina web pero  los teléfonos que tienen colocados  dice telgua que no existen. Y WhatsApp igual dice que ese teléfono no existe.",,,,subscribir boletín informativo intentar paginar web teléfono colocar decir telgua existir whatsapp igual decir teléfono existir
OkXlHx0hx-8,UgwCW5PErySUmwse3bZ4AaABAg,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,UCRwA1NUcUnwsly35ikGhp0A,@WilR-s8r,UCxhtlxPV8AYWaNNyU6S9H8Q,Pero hay que ver el lado bueno si los deportan por la Frontera los carteles los secuestran para sacar dinero a los familiares en USA,guatemala noticias,topic,youtube_guatemala_comments.csv | youtube_guatemala_plus_comments.csv,/@WilR-s8r,hace 1 día, ,0,False,,/@WilR-s8r,0,Pero hay que ver el lado bueno si los deportan por la Frontera los carteles los secuestran para sacar dinero a los familiares en USA,,,,ver lado bueno si deportar frontera cartel secuestrar sacar dinero familiar usar
yLZS3JiEBg8,UgwCfRlzeiXz172UQQV4AaABAg,Arroz con pollo a la MONOPOLIO,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@hashojea7348,UCvcu1kR8xMYy_I1Ty-2mV2Q,"Este video debe llegar a muchas personas, es muy buena información",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@hashojea7348,hace 2 años, ,0,False,,/@hashojea7348,0,"Este video debe llegar a muchas personas, es muy buena información",,,,video debe llegar mucho persona bueno información
j43HgwYFKfk,UgwCw9bhAw6suYQfCWx4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@josecastillo4390,UCaKAjTW9MVub_clgr4DRYjQ,Qué lujooo de contenidooooo 🔥,@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@josecastillo4390,hace 1 año,6,0,False,,/@josecastillo4390,6,Qué lujooo de contenidooooo 🔥,,,🔥,lujooo contenidooooo
n8iP75gIpmw,UgwEOUk-ofXNqkHW5Cx4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@markoherrera,UCxff05WuyvwELNITi7bj7UA,"Desde que dijo que qué hacían los periodistas por el país lo deje de escuchar, no me quiero picar el hígado",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@markoherrera,hace 2 años,3,0,False,,/@markoherrera,3,"Desde que dijo que qué hacían los periodistas por el país lo deje de escuchar, no me quiero picar el hígado",,,,decir hacer periodista país deje escuchar querer picar hígado
n8iP75gIpmw,UgwEQHx8Ik7SbxBTQ914AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@SoniaMarroquin-y6e,UCZLG9qH0tUjNhEGFIUt0CYw,Otros nuevos corruptos,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@SoniaMarroquin-y6e,hace 2 años,1,0,False,,/@SoniaMarroquin-y6e,1,Otros nuevos corruptos,,,,nuevo corrupto
j43HgwYFKfk,UgwEjfj5ueeimHg-Hbt4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@armindapenados2841,UCwgCc9Jd_gG-uLE_SY-FfPg,¡¡¡La USAC NO tiene rector sólo un usurpador!!!,@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@armindapenados2841,hace 1 año, ,0,False,,/@armindapenados2841,0,¡¡¡La USAC NO tiene rector sólo un usurpador!!!,,,,usac rector sólo usurpador
n8iP75gIpmw,UgwG3XiEgFlHKtrtTqd4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@JacintaTzoy,UCXSkL3ejZ8qWYyF_M7s_QKA,"Entoces las mismas 💩😡 Junta Directiva haciéndose de las suyas con el dinero del Estado. Ya basta de tanto robo, barriles sin fondos..💩😡",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@JacintaTzoy,hace 2 años, ,0,False,,/@JacintaTzoy,0,"Entoces las mismas 💩😡 Junta Directiva haciéndose de las suyas con el dinero del Estado. Ya basta de tanto robo, barriles sin fondos..💩😡",,,💩|😡|💩|😡,entoces mismo junta directiva haciéndose dinero bastar robo barril fondo
n8iP75gIpmw,UgwGm1V-_GN1ZPcijdl4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@byronpontaza,UChs3tU2BcKOT0CezykvAsGw,"Eso es lo que yo no entiendo de los periodistas, porque ahora atacan con tanto entusiasmo estas cosas, en el gobierno anterior estuvieron callados, o en ese tiempo también ellos recibían sus pagos",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@byronpontaza,hace 2 años,2,0,False,,/@byronpontaza,2,"Eso es lo que yo no entiendo de los periodistas, porque ahora atacan con tanto entusiasmo estas cosas, en el gobierno anterior estuvieron callados, o en ese tiempo también ellos recibían sus pagos",,,,entender periodista ahora atacar entusiasmo cosa gobierno anterior callar tiempo recibir pago
n8iP75gIpmw,UgwHY5LtTiQ0lBONp8N4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@johnmejia992,UC6PvO1_k5lHKGdAPo5_C6TA,"Tanto mierda este programa... tiene razón pero 
Y porque no le tira así a los corruptos",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@johnmejia992,hace 2 años,1,0,False,,/@johnmejia992,1,"Tanto mierda este programa... tiene razón pero 
Y porque no le tira así a los corruptos",,,,mierda programa razón tira así corrupto
6W4u8sGEnGM,UgwIB06iEQnFOFLc9et4AaABAg,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@vic-bonivideos,UCwxoKK59nGCeBqB2sXfDBIw,"Indignante COMO EXISTEN unos GUATEMALTECOS ESTÚPIDOS , los PROYECTOS, SON PROYECTOS DE ESTADOS no de PARTIDOS POLÍTICOS, lo que hubiera estado HACIENDO EL ZURDO PRESIDENTE era INAURANDO su CONSTRUCCIÓN no reempezar lo que hace 3 años empezó así como el el puente Roosevelt no tuvo ningún cambio fue lo que ya estaba expuesto, lo que sucede que siempre llega otro delincuente y quiere su mordida ese PROSUPUESTO YA ESTABA ECHO ..",Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@vic-bonivideos,hace 6 días, ,1,False,,/@vic-bonivideos,0,"Indignante COMO EXISTEN unos GUATEMALTECOS ESTÚPIDOS , los PROYECTOS, SON PROYECTOS DE ESTADOS no de PARTIDOS POLÍTICOS, lo que hubiera estado HACIENDO EL ZURDO PRESIDENTE era INAURANDO su CONSTRUCCIÓN no reempezar lo que hace 3 años empezó así como el el puente Roosevelt no tuvo ningún cambio fue lo que ya estaba expuesto, lo que sucede que siempre llega otro delincuente y quiere su mordida ese PROSUPUESTO YA ESTABA ECHO ..",,,,indignante existir guatemalteco estúpido proyecto proyecto partido político hacendar zurdo presidente inaurando construcción reempezar hacer año empezar así puente roosevelt ninguno cambio exponer suceder siempre llegar delincuente querer morder prosupuesto echar
6W4u8sGEnGM,UgwIB06iEQnFOFLc9et4AaABAg.Aa-0m2jDJt2Aa42DVzs9Zy,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,UC-ZtFBHzgkYFh7whZkuR_Ag,@hectormaaz5523,UCWaRixDdpgllTBf4V0jPnKQ,Tantos.que empezaron y no llegaron ni siquiera a la mitad puentes donde no hay Rio para robar el dinero y este presidente llegó para hacer algo diferente y eso que no vote por el pues tampoco he cotado por los corruptos pero a este presente si votaría por el si fuera posible,Gobierno de la República de Guatemala,topic,youtube_guatemala_plus_comments.csv | youtube_lab_targets_small_comments.csv,/@hectormaaz5523,hace 4 días (editado), ,0,False,,/@hectormaaz5523,0,Tantos.que empezaron y no llegaron ni siquiera a la mitad puentes donde no hay Rio para robar el dinero y este presidente llegó para hacer algo diferente y eso que no vote por el pues tampoco he cotado por los corruptos pero a este presente si votaría por el si fuera posible,,,,tanto empezar llegar siquiera mitad puente reír robar dinero presidente llegar hacer diferente votar pues tampoco cotar corrupto presente si votar si posible
j43HgwYFKfk,UgwIBBqN6fh6MURkwkN4AaABAg,La cooptación de Walter Mazariegos en la USAC,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@HectorElias-u2l,UCkVtmkK07b2zaVVNssX4lOg,"Mucha importancia le dan a éste ladrón maldito,",@quorumgt,topic,j43HgwYFKfk_out_comments.csv | quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@HectorElias-u2l,hace 6 meses, ,0,False,,/@HectorElias-u2l,0,"Mucha importancia le dan a éste ladrón maldito,",,,,mucho importancia dar este ladrón maldito
n8iP75gIpmw,UgwIiqrp6EYNoFmnBAR4AaABAg,Qué rico come tu diputado,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,@carlosmedranovelasquez6380,UCN6qbfPSzFtjhqUDZ3Cv3CQ,"O sea que si es válido que se den sus gustos con el dinero de los guatemaltecos, es una sinverguenzada, para eso tienen jugosos salarios no le roben al pueblo",@quorumgt/videos,channel,quorum_complete_comments.csv | youtube_guatemala_plus_comments.csv,/@carlosmedranovelasquez6380,hace 2 años,2,0,False,,/@carlosmedranovelasquez6380,2,"O sea que si es válido que se den sus gustos con el dinero de los guatemaltecos, es una sinverguenzada, para eso tienen jugosos salarios no le roben al pueblo",,,,si válido dar gusto dinero guatemalteco sinverguenzada jugoso salario robar pueblo
